1; Австралия
2; Аргентина
3; Бельгия
4; Бельгия-Израиль-Франция
5; Боливия
6; Бразилия
7; Буркина-Фасо
8; Буркина-Фасо-Франция-Швейцария
9; Великобритания
10; Венгрия
11; ГДР
12; Германия
13; Гонконг
14; Греция
15; Дания
16; Египет
17; Израиль
18; Индия
19; Иран
20; Испания
21; Италия
22; Италия-СССР
23; Италия-Франция
24; Канада
25; Китай
26; Китай-Тайвань
27; Куба
28; Мали
29; Мексика
30; Нидерланды
31; Новая Зеландия
32; Норвегия-Швеция
33; Польша
34; Португалия
35; Россия
36; Румыния
37; Сенегал
38; СССР
39; США
40; Тайвань
41; Таиланд
42; Турция
43; Финляндия
44; Франция
45; Франция-Италия
46; Франция-Мавритания
47; Франция-Польша
48; Франция-Швеция
49; ФРГ
50; Чехословакия
51; Чили
52; Швейцария
53; Швеция
54; Югославия
55; Южная Корея
56; Япония
57;Италия
